Series,PBG,PBU,PBU_1,PBU_2,Focus/DR Flag,Pricing/Lead Time PM,Technical PM
CC060,Capacitor,MLCC,COMMODITY,CC0603,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC080,Capacitor,MLCC,COMMODITY,CC0805,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC102,Capacitor,MLCC,HIGH CAP,HC X5R,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC103,Capacitor,MLCC,HIGH CAP,HC X5R,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC120,Capacitor,MLCC,COMMODITY,CC >=1206,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC121,Capacitor,MLCC,COMMODITY,CC >=1206,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC131,Capacitor,MLCC,SPECIALTY,HV >=500V,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC180,Capacitor,MLCC,SPECIALTY,HV >=500V,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC181,Capacitor,MLCC,COMMODITY,CC >=1206,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CC222,Capacitor,MLCC,HIGH CAP,HCV X7R,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CE011,Capacitor,MLCC,SPECIALTY,CE (Embedded),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CE012,Capacitor,MLCC,SPECIALTY,CE (Embedded),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CE021,Capacitor,MLCC,SPECIALTY,CE (Embedded),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CE022,Capacitor,MLCC,SPECIALTY,CE (Embedded),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CE027,Capacitor,MLCC,SPECIALTY,CE (Embedded),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CI040,Capacitor,MLCC,COMMODITY,CC0402,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CI060,Capacitor,MLCC,COMMODITY,CC0603,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CI080,Capacitor,MLCC,HIGH CAP,HC X5R,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CI120,Capacitor,MLCC,COMMODITY,CC >=1206,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CI121,Capacitor,MLCC,HIGH CAP,HC X5R,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CL030,Capacitor,MLCC,SPECIALTY,Low Inductance,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CL050,Capacitor,MLCC,SPECIALTY,Low Inductance,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CL061,Capacitor,MLCC,SPECIALTY,Low Inductance,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CN040,Capacitor,MLCC,HIGH CAP,HC X5R,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CQ010,Capacitor,MLCC,SPECIALTY,CQ (CBR),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CQ020,Capacitor,MLCC,SPECIALTY,CQ (CBR),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CQ040,Capacitor,MLCC,SPECIALTY,CQ (CBR),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CQ060,Capacitor,MLCC,SPECIALTY,CQ (CBR),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CQ080,Capacitor,MLCC,SPECIALTY,CQ (CBR),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS040,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS060,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS080,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS120,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS121,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS180,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS181,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
CS888,Capacitor,MLCC,SPECIALTY,CS (Soft-Term),Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
HC666,Capacitor,MLCC,HIGH CAP,HC X6S,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
HC888,Capacitor,MLCC,HIGH CAP,HC X5R,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
HCV88,Capacitor,MLCC,HIGH CAP,HCV X7R,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
HV777,Capacitor,MLCC,SPECIALTY,HV >=500V,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
HV888,Capacitor,MLCC,SPECIALTY,HV >=500V,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC020,Capacitor,MLCC,COMMODITY,CC0201,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC040,Capacitor,MLCC,COMMODITY,CC0402,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC060,Capacitor,MLCC,COMMODITY,CC0603,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC080,Capacitor,MLCC,COMMODITY,CC0805,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC120,Capacitor,MLCC,COMMODITY,CC >=1206,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC121,Capacitor,MLCC,COMMODITY,CC >=1206,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC180,Capacitor,MLCC,SPECIALTY,HV >=500V,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
IC181,Capacitor,MLCC,HIGH CAP,HCV X7R,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
SC180,Capacitor,MLCC,SPECIALTY,Safety,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
SC181,Capacitor,MLCC,SPECIALTY,Safety,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
SC222,Capacitor,MLCC,SPECIALTY,Safety,Yes,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
SS111,Capacitor,MLCC,COMMODITY,CC0201,No,Rina Chuang,"Primary: C.L. Hu; 
Secondary: Joshua Chen – APAC/EMEA, Jake Michels - AMER"
